key(String),amplitude(double),node(number),seconds(number)
"-M8wOFcjXAdvJq765-3Z","346","0","277.02"
"-M8wOFfHVD3XUjqK4MjS","2494","2","277.391"
"-M8wOFiMaGLh-nxVFWWf","382","0","277.381"
"-M8wOFkuiCQwaV3sectr","2231","2","277.751"
"-M8wOFqXe2l47OBB6zGb","1845","2","278.111"
"-M8wOFw9w2W7XUhnRzkM","1305","2","278.471"
"-M8wOFzFEP51uLkotfNP","790","0","278.461"
"-M8wOG3rLXWFEY4XEif9","672","0","278.821"
"-M8wOG9UEZBn4v7_AXhD","462","0","279.18"
"-M8wOGF6yIsdRWbP-cMv","372","0","279.54"
"-M8wOGFL9P6Y3PWBAwFF","627","1","279.515"
"-M8wOGHdb6Sh5kcvwQHW","2696","2","279.911"
"-M8wOGNH9-n1IxD4-fz-","3703","2","280.272"
"-M8wOGQM1N6vUHvcaqWm","266","0","280.261"
"-M8wOGVzCGY1wqBP0K_c","320","0","280.621"
"-M8wOGYXgIlVPeQbaN2c","3212","2","280.991"
"-M8wOGabW0Ct07Y2OnwW","748","0","280.981"
"-M8wOGd8wk-NzJaSqd1G","2344","2","281.351"
"-M8wOGgEZq2AyFyKsX_K","1612","0","281.341"
"-M8wOGim1qZhw35Vc6tU","2078","2","281.712"
"-M8wOGls9ZewvFGw-mjF","1812","0","281.701"
"-M8wOGoPPOi6igk3-Has","1612","2","282.072"
"-M8wOGrVaaWaye_J7m5q","262","0","282.061"
"-M8wOGu1yRUngRHuI-Wt","1020","2","282.432"
"-M8wOH4H2WshqWSG58f7","2619","2","283.152"
"-M8wOH9uAC6K0uOzum20","2761","2","283.511"
"-M8wOHFYA2w5JA1-WevX","2605","2","283.872"
"-M8wOHIbMItVPwu-IbEE","516","0","283.861"
"-M8wOHU5jqY04b_JK1XA","2819","1","284.556"
"-M8wOHWPToW-u2WY0WQ9","2606","2","284.951"
"-M8wOHZio0LcPTWcTJU3","1745","1","284.915"
"-M8wOHb1vMxtj2V1Vwdr","3004","2","285.312"
"-M8wOHgeTDIRnj6roodZ","4030","2","285.671"
"-M8wOHmHIoJluoz_-5DH","1693","2","286.032"
"-M8wOHpNv1pPf1NlWiLh","334","0","286.021"
"-M8wOHru4so_lwnIeqZH","1057","2","286.392"
"-M8wOHuzH8KnzMaiaXVo","870","0","286.381"
"-M8wOHxX1L8FnP08ZU-G","1859","2","286.751"
"-M8wOI-b-QRIE0KAxoWq","606","0","286.741"
"-M8wOI29YBGNICYx17qM","1633","2","287.111"
"-M8wOI5E8svrJsxJ1nkK","266","0","287.101"
"-M8wOI7lFXqcIZAlGrWf","1816","2","287.471"
"-M8wOIDP0nD46IYI1LSm","1333","2","287.832"
"-M8wOIJ13ZGntsUQ7Gla","1134","2","288.192"
"-M8wOIOemMEGaNVmQNL-","2268","2","288.552"
"-M8wOIRjbJaS870mpYrE","308","0","288.541"
"-M8wOIRyZpPL3z25DBfh","393","1","288.516"
"-M8wOIUHEtV6tQkuPaTP","2849","2","288.912"
"-M8wOIXM9dxclBq55BTu","666","0","288.901"
"-M8wOIZtk_9Q5xVlakEG","2642","2","289.271"
"-M8wOIbzxOpzTI0AbDz9","1562","0","289.261"
"-M8wOIeX-LK-iD_KJffR","3464","2","289.632"
"-M8wOIhbMDf7xEA-nyi0","396","0","289.621"
"-M8wOIt5wAZtU8ZCSIfO","743","1","290.316"
"-M8wOIyi0YdRE3KzkWC5","657","1","290.676"
"-M8wOJ5e3O-Dv5Tz2tNH","1934","2","291.431"
"-M8wOJBHcCSFrYKdKfMO","1858","2","291.792"
"-M8wOJENZopj8XU1Uyi0","360","0","291.781"
"-M8wOJGuXLD5cNJZUKHs","1896","2","292.151"
"-M8wOJJzzK4_09GnhUHA","654","0","292.141"
"-M8wOJMWZYI14XeT4OsC","1446","2","292.511"
"-M8wOJa6pGUtWcoaiZ7U","1536","1","293.196"
"-M8wOJcPZ0g0rciK0YJy","4065","2","293.592"
"-M8wOJfUQuKE1Jn4RCAO","740","0","293.581"
"-M8wOJfi-qpeOCKSVcXX","2997","1","293.556"
"-M8wOJi0YwEShQeBWmsG","4327","2","293.951"
"-M8wOJneJ3WlRCUnCbSS","2896","2","294.312"
"-M8wOJtHv3hhQtRkIWZb","2406","2","294.672"
"-M8wOJyt5tpiKzUGsWll","2096","2","295.031"
"-M8wOK3Xvas18Gh9FYdE","2145","2","295.391"
"-M8wOKEl2uI71gQzzS9e","608","2","296.111"
"-M8wOKNi4Ffr9gki4qOp","374","1","296.435"
"-M8wOKQ1xwbS_yxl49Cu","718","2","296.831"
"-M8wOKVeGF3aLme7CTSf","723","2","297.192"
"-M8wOKlWj5DaYqWpApBj","1288","2","298.271"
"-M8wOKr8L44J0AXXXPP_","846","2","298.631"
"-M8wOKwmWxosTBnGBwpC","1067","2","298.992"
"-M8wOL1PZuNvnBJS5NMJ","1788","2","299.352"
"-M8wOL71tqf_iB5ixF7X","1700","2","299.712"
"-M8wOLCe-iEns7ScocoQ","1911","2","300.072"
"-M8wOLIHKKA3xcUidFYY","2075","2","300.431"
"-M8wOLLMxhUMLi0mQ9HT","386","0","300.421"
"-M8wOLNt2vJvXW-uAP15","953","2","300.791"
"-M8wOLZ8rGKCToseQ0d6","843","2","301.511"
"-M8wOLdl43kdycya1tyF","1226","2","301.871"
"-M8wOLgsc-omHlo5BVnO","263","0","301.861"
"-M8wOLh5Iev22o1-Somh","463","1","301.835"
"-M8wOLjPexbLExQPi88u","1120","2","302.232"
"-M8wOLmUhvh_Girj4G4A","922","0","302.221"
"-M8wOLmiCc_8PLuKSxAi","539","1","302.196"
"-M8wOLs6UE2ZyTiDzBWL","1528","0","302.581"
"-M8wOLsLEFmcYUMDGJr6","1650","1","302.556"
"-M8wOLxjZgLELvQ5ya1N","446","0","302.941"
"-M8wOLxyr2llmVXBaq0t","2641","1","302.915"
"-M8wOM-H8iefl_zrbSdL","2769","2","303.312"
"-M8wOM2MT3mEugafDQ6K","265","0","303.301"
"-M8wOM4uVCA-BjmjftYU","1735","2","303.671"
"-M8wOM7zgp24YwnrORBH","348","0","303.66"
"-M8wOMAXHNspTFGYsDq8","1685","2","304.032"
"-M8wOMDbzGxem6uC9edK","338","0","304.021"
"-M8wOMG9mJCMS8XPGQaD","2901","2","304.392"
"-M8wOMLl1YlgWmT_HvcU","2558","2","304.751"
"-M8wOMOsW_5_uNJAOK9_","2272","0","304.741"
"-M8wOMUUW1Bz1YIYUR5Q","499","0","305.101"
"-M8wOMX1Jghah507fIX0","1418","2","305.472"
"-M8wOMbe11_mMnPgtKyt","1317","2","305.831"
"-M8wOMhHt38gNUrbf6vC","1029","2","306.191"
"-M8wOMkMqJRwCcq_TR1K","548","0","306.181"
"-M8wOMpzLyAiU18hh89v","459","0","306.541"
"-M8wOMy9JlGpNP_ftOqF","997","2","307.271"
"-M8wON0E_jn5Wo8Nlutg","2075","0","307.261"
"-M8wON2mvwK4xDgFWRGT","4216","2","307.631"
"-M8wON5rgmqBZUA8zQ81","351","0","307.621"
"-M8wON8OGk5Js5DkE6gI","1598","2","307.991"
"-M8wONBU-RD29UYLTtyv","414","0","307.981"
"-M8wONE1tvfDPeeVAVFM","2276","2","308.352"
"-M8wONH6C05ajnwBC1OP","295","0","308.341"
"-M8wONJdB0nN7us0uwMI","2562","2","308.711"
"-M8wONMjd5GaqflhUmwX","252","0","308.7"
"-M8wONPH7XAc0kE2PAid","2995","2","309.071"
"-M8wONSNuDFPL0F5HoOr","1116","0","309.061"
"-M8wONUu804ex46LZQid","3327","2","309.432"
"-M8wONY-HSU2fsCN5EyD","1431","0","309.421"
"-M8wON_XVEQ4BHUJDTaZ","1526","2","309.792"
"-M8wONa9VvFAxn3Wptji","1350","3","309.736"
"-M8wONcbKknGJTHKF8Z_","572","0","309.781"
"-M8wONf84TG_rrIhO9kg","3541","2","310.15"
"-M8wONkmD3S-ycK808VK","2449","2","310.512"
"-M8wONlPyGKFwN2wGTA7","1215","3","310.456"
"-M8wONnrsMbrIC9De_hO","505","0","310.501"
"-M8wONtUsOZviUSTXszm","400","0","310.86"
"-M8wONw1-38RVtQ8V6d0","749","2","311.232"
"-M8wONz6jBANP-aP5S5c","612","0","311.22"
"-M8wOO0eISRwUZgu2cND","3315","2","311.591"
"-M8wOO3iiZ0gDkWG_BKe","1248","0","311.58"
"-M8wOO6Hchd7Y19FGV3A","781","2","311.951"
"-M8wOOBuU0GtSVQNd5RL","2242","2","312.312"
"-M8wOOCXuBp6ofXuP1pF","1686","3","312.256"
"-M8wOOEz7DInmYn-HGip","1088","0","312.3"
"-M8wOOHX83bXbMFP4FML","2182","2","312.672"
"-M8wOOKbYGVDeSgAHyRq","364","0","312.66"
"-M8wOOQEVZPXOqt6TB60","260","0","313.02"
"-M8wOOSmhNxpNy1Rr_oY","2605","2","313.391"
"-M8wOOYP_x28KlOQ_3AO","2759","2","313.752"
"-M8wOOaUPSkN-f0LBVqj","252","0","313.741"
"-M8wOOd1gHYYcmBrQX_v","1630","2","314.111"
"-M8wOOg6WCHX3_gcHhcS","895","0","314.101"
"-M8wOOidYJ-B1XwxzjNS","1243","2","314.471"
"-M8wOOoHGvqrnqbY4Rc0","714","2","314.832"
"-M8wOOotDjLq0nNtA72H","7579","3","314.776"
"-M8wOOrM4TZAiIMqiLor","549","0","314.82"
"-M8wOOtt_SAn0S8UbOx6","3196","2","315.191"
"-M8wOOuWHtSOkCDGMfpB","4318","3","315.136"
"-M8wOOwz5AbI50cTen34","890","0","315.18"
"-M8wOOzX8ic0K9qUgD3_","1824","2","315.551"
"-M8wOP1btIDxFLifpdsT","940","0","315.54"
"-M8wOP49VZSAZngpebWU","1563","2","315.912"
"-M8wOP7EPuznUbGTEIRb","956","0","315.901"
"-M8wOPCrOKQGDlvOSLme","482","0","316.261"
"-M8wOPFOOf8Tkazqa7dN","4306","2","316.631"
"-M8wOPIVpfSAnPIFoCG0","412","0","316.621"
"-M8wOPL1McjaL-ZOBTaH","3775","2","316.992"
"-M8wOPO6MxlbOOemGnKW","1622","0","316.981"
"-M8wOPQetrZsNWgds8zZ","3066","2","317.351"
"-M8wOPRHIKO-QGFDGqxo","1953","3","317.296"
"-M8wOPTjXiJImDr8Qi5L","1216","0","317.341"
"-M8wOPWI_p4L0x-9_I_Z","1993","2","317.712"
"-M8wOPWu3lMP14zKWq7k","2279","3","317.657"
"-M8wOPZNcjt-V5KislnI","873","0","317.701"
"-M8wOPbW2frtnM2iqGwq","1726","3","318.016"
"-M8wOPdzMQjOx5zUhhCg","479","0","318.061"
"-M8wOPh8xtXmGdw6tPbq","1341","3","318.376"
"-M8wOPjbLUuNx816L4Pb","498","0","318.421"
"-M8wOPpEXIySWXGzeuUm","368","0","318.781"
"-M8wOPsPuf_CJ_AQafqw","1413","3","319.096"
"-M8wOPur8sJK9-MW_yvc","716","0","319.141"
"-M8wOPxOae75-iMl7RdJ","1217","2","319.511"
"-M8wOPy0SihMFe4C8Yn4","1992","3","319.456"
"-M8wOQ-UlYnH9MGRunE-","1569","0","319.501"
"-M8wOQ20cxtuBRIVJK4h","1170","2","319.871"
"-M8wOQ566ueRHaQKiDRI","870","0","319.861"
"-M8wOQ7dlI5NRfTXpj2B","2100","2","320.231"
"-M8wOQAjVZiV4ukYncRr","1058","0","320.22"
"-M8wOQDHdI3D9Hj213lK","2224","2","320.592"
"-M8wOQGMbwzhdZA2Wy9z","578","0","320.581"
"-M8wOQIuxtfTAwP7shpR","2180","2","320.952"
"-M8wOQLymL0j4LEYXxJ8","764","0","320.94"
"-M8wOQOXYofHn62r1mS9","747","2","321.312"
"-M8wOQRb6LjxBpAWf7_q","1016","0","321.3"
"-M8wOQXEAiNUb0T48eH1","991","0","321.66"
"-M8wOQZmVk8Sj1dNMqLm","5105","2","322.032"
"-M8wOQ_PVrv_x4H3DpN7","1292","3","321.977"
"-M8wOQbrY067_zwJpW9y","1978","0","322.02"
"-M8wOQePqEtTaCCJT_8z","5026","2","322.391"
"-M8wOQk1CiHlB3exHKP5","2462","2","322.752"
"-M8wOQkdngRIZXVqVFK1","3509","3","322.696"
"-M8wOQn66vd6FlIJJnif","296","0","322.74"
"-M8wOQpenwmlU1BsJ8Rl","2379","2","323.112"
"-M8wOQqGrBABJgidNOSJ","2598","3","323.056"
"-M8wOQsjOYV71MD_YGPe","698","0","323.1"
"-M8wOQvthW3UYqlq_NIF","4896","3","323.416"
"-M8wOQyMngcDsVyw009S","568","0","323.461"
"-M8wOR0Wx0sCbNM_Lurr","3619","3","323.776"
"-M8wOR2zU8LEYbt5bpjY","826","0","323.82"
"-M8wOR68WZY1bdD_RR5f","1220","3","324.136"
"-M8wORB9CRymbNGIHRy2","2132","2","324.552"
"-M8wORBny3rZqWwTsfHm","1108","3","324.497"
"-M8wORGmao38ZPRf7ZMq","2671","2","324.911"
"-M8wORJsq8gnor4819s1","1811","0","324.901"
"-M8wORPUctOa7WivZ60T","313","0","325.261"
"-M8wORS0g6eTdQoOa5rO","3902","2","325.631"
"-M8wORXeZuU6gZG40Ch_","4475","2","325.992"
"-M8wOR_j166-KhaE733m","368","0","325.981"
"-M8wORcHiaQxxGPoY650","3066","2","326.351"
"-M8wORfMG0sSWeSfoley","1082","0","326.34"
"-M8wORhu8XAJ4RgQ__KS","1666","2","326.711"
"-M8wORkzOZ2UJVmectad","1220","0","326.701"
"-M8wORqb9qS6mwFk7oux","1640","0","327.061"
"-M8wORwE2VBPpSkn_JDR","693","0","327.421"
"-M8wORymDJgWh4ZoKVu8","1485","2","327.792"
"-M8wOS0rMnj_ueJGJISE","1006","0","327.781"
"-M8wOS3OquMV3D0VYSjp","1328","2","328.151"
"-M8wOS6UenfRUygkCQDf","472","0","328.141"
"-M8wOS91sC6eWm67w-k3","1478","2","328.512"
"-M8wOS9evYUsqP5rX7ta","1586","3","328.456"
"-M8wOSC6LuJNzmWfy0zS","498","0","328.5"
"-M8wOSEe3THOx0juLnkx","1679","2","328.872"
"-M8wOSFGo_tUXrpgB-wm","1454","3","328.816"
"-M8wOSFOxuaxMzyZPtiS","2006","4","328.749"
"-M8wOSHj8QNpPYEwu7X5","278","0","328.861"
"-M8wOSKHLRbIWwIOzaK3","1684","2","329.232"
"-M8wOSKtMwrPl6MKrFB8","1412","3","329.176"
"-M8wOSNMHIXHxXIXffN2","369","0","329.221"
"-M8wOSPuxq6XAJ8UiiwN","1604","2","329.592"
"-M8wOSQWwZ3Qr934QujX","3079","3","329.536"
"-M8wOSVXXyB42bNbRaLS","654","2","329.952"
"-M8wOSW8wMZsgGx-gM2_","2630","3","329.896"
"-M8wOSYb4YmdQpaj7anS","284","0","329.941"
"-M8wOSa85Zp5_dKGjxWA","3201","2","330.311"
"-M8wOSdE4oNRiAuibQTG","308","0","330.301"
"-M8wOSfmo7ARzgEliRwx","2788","2","330.671"
"-M8wOSirAkWRVXSCwuwj","514","0","330.661"
"-M8wOSoUG6Dg8itXFtZW","480","0","331.021"
"-M8wOSr1IWdFs4n6gLm3","2920","2","331.391"
"-M8wOSu6w7HeVER7j2-h","450","0","331.381"
"-M8wOSzjBhKib-4XtRNR","804","0","331.741"
"-M8wOT1Hs_C9cajLZQqR","2106","2","332.111"
"-M8wOT4MfKtgK7popHwZ","882","0","332.101"
"-M8wOT6uqkaA_IJ9P4UY","1943","2","332.471"
"-M8wOT9z1h7pVrD9ZkG9","1190","0","332.461"
"-M8wOTCX77VLo9g_Yjsz","2007","2","332.832"
"-M8wOTFb6NnI89XyIDTH","759","0","332.821"
"-M8wOTI9Y4RVUuviGqkM","2358","2","333.192"
"-M8wOTLE15C1u5disE-1","910","0","333.181"
"-M8wOTNmXTAKXUGVtn8y","1477","2","333.551"
"-M8wOTORBcwSZ6AzflKF","1059","4","333.427"
"-M8wOTQrhZ7XI7sBURwT","705","0","333.541"
"-M8wOTTPMYR7VHtfk_5t","1814","2","333.911"
"-M8wOTWU6QcPJyHs6Iak","276","0","333.901"
"-M8wOTZ1OcrDzEK0XSG9","1186","2","334.272"
"-M8wOTb5yFGaD_zpPzr8","388","0","334.26"
"-M8wOTdeqXMCJNZxpZg6","783","2","334.632"
"-M8wOTgjg9UsTSaL5nbP","364","0","334.62"
"-M8wOTjHH_pqgDElj7jT","1860","2","334.992"
"-M8wOTjzEpuHv8329BJI","1016","4","334.87"
"-M8wOTmMXuM5f_2FwZm-","984","0","334.981"
"-M8wOTm_jRqxSmMD_Y9r","1067","1","334.955"
"-M8wOToufPsUPWBLbvrl","1787","2","335.351"
"-M8wOTrz49GfLxWCA14B","976","0","335.34"
"-M8wOTuWx_Lkpw4arNYn","1817","2","335.711"
"-M8wOTxbGLhldkCjp6ma","582","0","335.701"
"-M8wOU-9qe0v9tpWffjf","2628","2","336.072"
"-M8wOU2EXeAt5yyG3vyw","1080","0","336.061"
"-M8wOU4m_8iuSHgSn56D","2308","2","336.432"
"-M8wOUAOj4aZ1e7G5hkl","1613","2","336.791"
"-M8wOUDUk5DO-whKp3k-","308","0","336.781"
"-M8wOUG0aETqtqYpqApP","1406","2","337.151"
"-M8wOUJ6okrus91P-D4W","377","0","337.141"
"-M8wOULeSZxzu6KQVidM","974","2","337.511"
"-M8wOUOjBIj2Nqkf_OL8","293","0","337.501"
"-M8wOURH7FfBC_bh5KJP","1728","2","337.871"
"-M8wOUZzuLcNFnzaXMvD","605","0","338.22"
"-M8wOUbXSicfaC2Ue9q3","1090","2","338.592"
"-M8wOUebXjWGjFMMh73H","582","0","338.58"
"-M8wOUh95wx0fANcN2oD","1986","2","338.952"
"-M8wOUkEScGyo4AAlNia","344","0","338.941"
"-M8wOUmmo3HD7p1PRWjJ","2625","2","339.311"
"-M8wOUprmkwU5jocZuyP","1010","0","339.301"
"-M8wOUsP4iYL9HZzRkWh","3448","2","339.672"
"-M8wOUvUCtd3ASUglDfb","1221","0","339.66"
"-M8wOV064SWkKMpCtiQ1","258","0","340.021"
"-M8wOV2eaFfGd90FVFu-","1135","2","340.392"
"-M8wOV3HssaXMADlIHY7","1313","3","340.336"
"-M8wOV5jsIc4wU2RzR96","790","0","340.38"
"-M8wOV8tGe8Nt8vhIqlO","3489","3","340.696"
"-M8wOVBMhRILAey8Mss3","646","0","340.741"
"-M8wOVDucbOONAwO1MXa","926","2","341.112"
"-M8wOVEWiujP5VGqZELr","5492","3","341.056"
"-M8wOVGzwTEmtAcM0hdk","356","0","341.101"
"-M8wOVJWjDtgcR02gxM2","1033","2","341.471"
"-M8wOVK8zHDA42xGGLgw","2275","3","341.416"
"-M8wOVMbOtZWk6vTIwGv","642","0","341.461"
"-M8wOVP9kYchLNrzX4e3","1862","2","341.832"
"-M8wOVPlAocd7WF6MdBK","2051","3","341.776"
"-M8wOVSEWVKO2cUXCX31","566","0","341.82"
"-M8wOVUmqeoHX0Kx3qoc","1316","2","342.191"
"-M8wOVXriJvUY1Jhk75b","478","0","342.181"
"-M8wOV_O5XMM6d7FBakn","977","2","342.551"
"-M8wOVcUBitab93zsbFR","474","0","342.541"
"-M8wOVf1f3nL4bWNm4fH","836","2","342.912"
"-M8wOVi6z726tusIBVjz","591","0","342.901"
"-M8wOVke17sKQnkFFGU5","1946","2","343.272"
"-M8wOVnjHH3SLKFAQ9jZ","1268","0","343.261"
"-M8wOVnyTTlQZoSH9K_n","389","1","343.235"
"-M8wOVqGK1asRDnZ8miP","2181","2","343.631"
"-M8wOVtMW3Atqilo1uBS","1208","0","343.62"
"-M8wOVvuV_GN0lGvcaop","1683","2","343.991"
"-M8wOVyzWZDPQi0FF0fu","359","0","343.981"
"-M8wOVzCf3JamS3lyVtC","434","1","343.955"
"-M8wOW0X37oHHb6J7gFs","2025","2","344.352"
"-M8wOW3bBKCvYtcivtbl","344","0","344.341"
"-M8wOW69auwv5b6YbPYF","1033","2","344.711"
"-M8wOW9E_CVNWvdINEIG","324","0","344.701"
"-M8wOWEroMoKuTQFPmyq","323","0","345.061"
"-M8wOWVx-nqvFcOjZiF9","743","1","346.115"
"-M8wOWYHNDJPk4z2vafV","2896","2","346.511"
"-M8wOWa_4jNkCpb7L8lR","441","1","346.475"
"-M8wOWct4gBUWOO4kD7Q","2644","2","346.871"
"-M8wOWiXIG8xjNH9z4dw","971","2","347.231"
"-M8wOWlb_BXKUR0BtZhL","469","0","347.221"
"-M8wOWrEAiHT7g_j53XP","442","0","347.581"
"-M8wOWrSpa9W1sRvhyEC","1141","1","347.555"
"-M8wOX1UoanEKWsSVOit","538","0","348.301"
"-M8wOX41iucMBLbVnqtS","967","2","348.672"
"-M8wOX76gWZk6H1wzpgF","698","0","348.661"
"-M8wOX9e8wu0WHA5sW1S","1597","2","349.032"
"-M8wOXCjpFeJzrCq9f1N","258","0","349.02"
"-M8wOXCyZa0BXNQQjXTJ","1821","1","348.996"
"-M8wOXFHTMBNQnEJ0FtX","1188","2","349.391"
"-M8wOXIMjBqHlpbHh3LS","386","0","349.381"
"-M8wOXIaiezL2t5jt2Ze","999","1","349.355"
"-M8wOXKu3GwoTLKmZmES","1083","2","349.752"
"-M8wOXLexbfkU0soRXUr","1079","4","349.633"
"-M8wOXNzvKdDa5fNeFs4","321","0","349.74"
"-M8wOXODgidg-XrA1UMH","559","1","349.715"
"-M8wOXQWRkFwcgO6rIY6","1035","2","350.111"
"-M8wOXTbtVStgy7ZwFqX","449","0","350.101"
"-M8wOXW9iTeQKy37Rie0","998","2","350.472"
"-M8wOXZEswnaWVV41wje","374","0","350.461"
"-M8wOXalMdtHv70tUlXY","733","2","350.831"
"-M8wOXdrYDODsmKSDuZo","1982","0","350.821"
"-M8wOXgOZgjxOcVbOM_z","1486","2","351.191"
"-M8wOXjUconaxH62Usdw","1718","0","351.181"
"-M8wOXm0Bp5Ul3jHHBHl","1586","2","351.551"
"-M8wOXp65ko8oDOi37Fr","1178","0","351.54"
"-M8wOXujcSaEno4umfj3","1406","0","351.901"
"-M8wOXxHc2vgPLGKs4-U","1255","2","352.271"
"-M8wOY-MQ_bPOPorbQ2-","698","0","352.261"
"-M8wOY1uRS_zLUd4eBvN","1642","2","352.632"
"-M8wOY7WoLHrb207PkHD","1334","2","352.991"
"-M8wOYD9Dlpt-fGFNjmN","1154","2","353.351"
"-M8wOYGEjt7CmkYC-ToN","644","0","353.341"
"-M8wOYImfzJ9HB-AgsU0","1153","2","353.712"
"-M8wOYLrmlgljr1Dm8GJ","521","0","353.701"
"-M8wOYRUHHTejkmYmtZk","780","0","354.061"
"-M8wOYUdop2fuQFdN9HO","1518","3","354.376"
"-M8wOYX6tXqumWZ8l0TV","1224","0","354.421"
"-M8wOY_GqMuyCH8QeTfD","1029","3","354.736"
"-M8wOYbjN4jF2qJ8GuSK","620","0","354.781"
"-M8wOYhM9f0zi8jyJE4W","651","0","355.141"
"-M8wOYjtPlpcG2ofYPT2","741","2","355.511"
"-M8wOYpXF9KEK3wkWbDb","745","2","355.872"
"-M8wOYyEa6yuLvWEGY_L","1088","0","356.22"
"-M8wOZ2ru5Yn4Q1_ub89","548","0","356.58"
"-M8wOZ8UIBfgBfTIiqjQ","404","0","356.941"
"-M8wOZE6xJzRWD0NRcfh","450","0","357.301"
"-M8wOZJjCAkI4Vq7FuX1","438","0","357.66"
"-M8wOZPMXczMDxOhz9Mh","448","0","358.021"
"-M8wOZUzPIAJ3nX6eZh2","396","0","358.381"
"-M8wOZ_bKNL8LC6OAfqR","434","0","358.741"
"-M8wOZfEpkJGNKHHWxG5","1140","0","359.101"
"-M8wOZhmKPcqc9Yr9BWP","890","2","359.472"
"-M8wOZkrHzOT_D-BmIOt","1222","0","359.461"
"-M8wOZnOwy9l7auxRHgM","4239","2","359.831"
"-M8wOZqU9jkMgJPu4TAC","1212","0","359.821"
"-M8wOZt1Zaa4dlRtHzcM","3734","2","360.192"
"-M8wOZtnnF6achwuL6S2","2915","4","360.073"
"-M8wOZw6MlUxkRzVQZ8E","696","0","360.18"
"-M8wOZydCOCj_dXQFXXC","1668","2","360.551"
"-M8wO_0jYdi-esoBtYhX","576","0","360.541"
"-M8wO_0yQUEnXX4cXu0F","457","1","360.515"
"-M8wO_3H1vUq84FfKV4A","2383","2","360.912"
"-M8wO_6Muq6WI40ThWPo","403","0","360.901"
"-M8wO_8t9uCLOGcr8RLN","2978","2","361.271"
"-M8wO_9XiE9MOL8ixaoq","1033","3","361.216"
"-M8wO_BzfE9IMudio7rD","404","0","361.261"
"-M8wO_CDyorjFkx0sCkt","2408","1","361.236"
"-M8wO_HbN2lwwtwE8exP","367","0","361.621"
"-M8wO_NEkEnwAHqOpgWM","440","0","361.981"
"-M8wO_SrA0mI2CzpIRTX","558","0","362.341"
"-M8wO_YUYpIBBIplbPdq","378","0","362.701"
"-M8wO_a13p8Imi81DSRw","2315","2","363.072"
"-M8wO_d6KsDZNhmDj5te","502","0","363.061"
"-M8wO_fdvZSpXcEoxQcL","908","2","363.431"
"-M8wO_lHmjjScYDcJCNq","1108","2","363.791"
"-M8wO_oa0tARl82SEPSQ","381","1","363.756"
"-M8wO_quhUmjfXXyAZC7","1981","2","364.151"
"-M8wO_wXsbEbHmnFUkx_","2068","2","364.512"
"-M8wO_zb8FkE05fP62Dy","563","0","364.501"
"-M8wOa18IIg6QANSm6AD","1400","2","364.871"
"-M8wOa4EvpRiD7NtoB3u","280","0","364.861"
"-M8wOa9rhqgYMskZXh4R","456","0","365.221"
"-M8wOaCO0Upnxx4pfCAA","1400","2","365.591"
"-M8wOaFVKicFcUgbjzB2","376","0","365.581"
"-M8wOaI10IxkuOu0_L7H","1603","2","365.951"
"-M8wOaL73HwlhvzlKZTu","290","0","365.941"
"-M8wOaNeFah5SYSXamyh","1348","2","366.312"
"-M8wOaQjEryUVVQvaDmE","450","0","366.301"
"-M8wOaTGQ4U8FBcyA3zx","1152","2","366.671"
"-M8wOaWMnArnZlax5j2I","2268","0","366.661"
"-M8wOaYtQ4BboZJSH6wD","3155","2","367.031"
"-M8wOab-R-pormD_29yl","2156","0","367.021"
"-M8wOadXM2RV-EOnIazN","726","2","367.392"
"-M8wOagb1yTPutzrGnnJ","279","0","367.381"
"-M8wOarrchZihmc2umMN","294","0","368.101"
"-M8wOauPyI-SsXzoJOBO","1553","2","368.471"
"-M8wOaxU7cgiERLmg1wD","292","0","368.461"
"-M8wOb-1ikzDeyJBco02","1153","2","368.831"
"-M8wOb26apQvWe052YJR","356","0","368.821"
"-M8wOb4eCbA2vQgorrx0","1689","2","369.192"
"-M8wOb7k75fY1fF5Pa7R","406","0","369.181"
"-M8wObAHqICLrgWjZrUr","2185","2","369.552"
"-M8wObDNbPqX-w1fcz12","254","0","369.541"
"-M8wObFumT_qm3JU1GmR","1983","2","369.912"
"-M8wObIzw82PteAdRMj-","440","0","369.901"
"-M8wObLXD8fmtQT2BV0B","1023","2","370.272"
"-M8wObObUnSUygIIYOgD","374","0","370.26"
"-M8wObR9golcjsoF9yvL","1883","2","370.632"
"-M8wObWmSq3TJAVkSVXP","1658","2","370.991"
"-M8wObk6s5kyDTdMOjnm","1905","0","371.701"
"-M8wObpjCsvxyYpUw3nq","847","0","372.061"
"-M8wObsHo56veMH2Le43","2248","2","372.432"
"-M8wObvMS8ggQOVGTesC","340","0","372.421"
"-M8wObxu2z4Yad9CZVau","2549","2","372.792"
"-M8wOc0-OWbiAW24W07c","258","0","372.781"
"-M8wOc2XE2gXlV3Weos4","2595","2","373.152"
"-M8wOc5bNq7oU5Fwk4zf","348","0","373.141"
"-M8wOc89TUhGCrwfQZCS","1386","2","373.512"
"-M8wOcBElNeNC61mmbH4","363","0","373.501"
"-M8wOcDmoWpiRrC_anhZ","2964","2","373.871"
"-M8wOcJPVMrJmTB0FBaS","2612","2","374.231"
"-M8wOcK081FscB_aM1Qh","2668","3","374.176"
"-M8wOcMUM6Z6EtsA6-wo","386","0","374.221"
